Level Date Low_Temp High_Temp
I [2024-08-06 05:24:47] chimera:991 65.90
I [2024-08-06 05:27:30] fairy:375 -78.15
W [2024-08-06 05:28:50] elemental:594 81.51
I [2024-08-06 05:28:52] elemental:346 -70.82
W [2024-08-06 05:29:40] fairy:407 -38.34
W [2024-08-06 05:33:36] dragon:200 60.41
I [2024-08-06 05:35:57] basilisk:87 59.77
W [2024-08-06 05:37:50] basilisk:435 -47.67
W [2024-08-06 05:48:20] basilisk:265 -61.76
I [2024-08-06 05:49:42] fairy:634 -91.33
I [2024-08-06 05:52:15] dragon:508 -38.34
I [2024-08-06 05:54:09] chimera:665 -65.98
E [2024-08-06 05:56:08] fairy:988 -81.54
I [2024-08-06 05:56:33] chimera:567 18.14
I [2024-08-06 06:01:48] basilisk:761 60.14
I [2024-08-06 06:04:06] elemental:834 -25.97
I [2024-08-06 06:05:36] elemental:552 35.55
W [2024-08-06 06:13:52] chimera:37 -96.22
E [2024-08-06 06:15:18] elemental:536 -11.79
E [2024-08-06 06:15:37] dragon:135 43.66
E [2024-08-06 06:16:48] fairy:835 84.56
E [2024-08-06 06:17:14] basilisk:828 -68.35
E [2024-08-06 06:17:29] fairy:314 -90.76
I [2024-08-06 06:17:57] elemental:522 22.34
I [2024-08-06 06:20:01] fairy:993 -17.31
E [2024-08-06 06:20:58] chimera:18 -91.1
W [2024-08-06 06:21:46] chimera:154 -97.60
E [2024-08-06 06:22:00] basilisk:708 52.99
E [2024-08-06 06:23:39] chimera:511 19.86
W [2024-08-06 06:23:51] basilisk:384 40.93
E [2024-08-06 06:27:07] fairy:719 -51.21
W [2024-08-06 06:27:23] chimera:741 -65.91
W [2024-08-06 06:27:52] elemental:294 -76.91
W [2024-08-06 06:29:04] chimera:38 20.97
I [2024-08-06 06:29:20] chimera:545 -81.78
W [2024-08-06 06:32:27] basilisk:329 5.67
W [2024-08-06 06:32:49] basilisk:704 56.3
I [2024-08-06 06:32:49] fairy:571 44.36
E [2024-08-06 06:34:25] chimera:451 -70.64
I [2024-08-06 06:34:26] chimera:925 -13.81
W [2024-08-06 06:34:35] chimera:95 -57.3
E [2024-08-06 06:35:41] elemental:267 35.80
E [2024-08-06 06:35:42] basilisk:325 59.29
I [2024-08-06 06:35:48] chimera:5 -23.54
W [2024-08-06 06:36:03] basilisk:883 -99.37
E [2024-08-06 06:36:17] chimera:877 40.68
W [2024-08-06 06:39:05] fairy:115 29.38
W [2024-08-06 06:39:15] elemental:427 47.41
E [2024-08-06 06:40:42] basilisk:161 -65.35
I [2024-08-06 06:40:44] chimera:249 8.69
W [2024-08-06 06:42:24] chimera:514 -78.67
W [2024-08-06 06:43:22] basilisk:370 27.57
I [2024-08-06 06:45:06] dragon:995 -37.82
I [2024-08-06 06:45:42] dragon:257 95.95
W [2024-08-06 06:45:59] basilisk:70 99.97
W [2024-08-06 06:46:43] basilisk:407 -97.32
E [2024-08-06 06:46:57] dragon:815 -88.7
E [2024-08-06 06:50:10] basilisk:429 -24.14
E [2024-08-06 06:53:43] basilisk:420 -59.63
I [2024-08-06 06:53:47] basilisk:98 -42.20
I [2024-08-06 06:53:48] fairy:997 47.32
E [2024-08-06 06:53:56] basilisk:153 -96.50
I [2024-08-06 06:54:37] elemental:38 -62.4
W [2024-08-06 06:56:50] chimera:450 26.44
I [2024-08-06 06:58:31] dragon:753 65.30
I [2024-08-06 07:01:18] dragon:633 -36.37
W [2024-08-06 07:01:23] elemental:672 79.95
W [2024-08-06 07:01:54] dragon:693 56.54
I [2024-08-06 07:04:20] elemental:665 -32.15
I [2024-08-06 07:06:02] dragon:51 -83.43
I [2024-08-06 07:06:28] elemental:16 -86.42
W [2024-08-06 07:06:45] basilisk:782 56.53
W [2024-08-06 07:08:23] chimera:977 26.19
I [2024-08-06 07:09:57] chimera:747 -69.93
W [2024-08-06 07:11:13] dragon:363 -80.19
W [2024-08-06 07:11:26] dragon:949 21.28
I [2024-08-06 07:11:52] chimera:162 98.11
E [2024-08-06 07:13:22] basilisk:735 -3.87
W [2024-08-06 07:13:32] chimera:151 21.6
I [2024-08-06 07:15:35] dragon:180 -37.58
E [2024-08-06 07:16:01] fairy:187 75.38
I [2024-08-06 07:16:21] fairy:220 -77.38
I [2024-08-06 07:17:56] fairy:918 51.80
E [2024-08-06 07:18:22] fairy:959 -76.21
W [2024-08-06 07:20:01] dragon:817 -41.65
E [2024-08-06 07:20:32] elemental:287 -70.75
W [2024-08-06 07:23:52] dragon:329 -4.40
I [2024-08-06 07:27:11] fairy:201 -63.70
W [2024-08-06 07:27:33] chimera:250 -7.54
E [2024-08-06 07:28:23] elemental:262 -19.37
W [2024-08-06 07:29:19] basilisk:65 -21.41
W [2024-08-06 07:30:44] dragon:452 -27.6
E [2024-08-06 07:33:20] fairy:872 -34.37
E [2024-08-06 07:34:13] elemental:305 -82.22
W [2024-08-06 07:34:15] dragon:955 38.79
I [2024-08-06 07:35:46] chimera:888 -70.69
W [2024-08-06 07:40:05] dragon:94 56.91
I [2024-08-06 07:40:11] basilisk:315 17.91
I [2024-08-06 07:40:25] fairy:839 79.60
I [2024-08-06 07:41:40] dragon:744 -23.43
E [2024-08-06 07:41:41] fairy:786 -98.4
W [2024-08-06 07:42:03] elemental:811 93.84
I [2024-08-06 07:43:18] chimera:905 84.10
I [2024-08-06 07:46:08] dragon:365 -66.65
E [2024-08-06 07:49:36] elemental:178 54.87
I [2024-08-06 07:49:52] dragon:409 -79.55
W [2024-08-06 07:49:57] chimera:732 -51.94
W [2024-08-06 07:50:44] fairy:919 -75.75
I [2024-08-06 07:52:36] basilisk:233 48.7
I [2024-08-06 07:52:57] elemental:737 -33.99
W [2024-08-06 07:54:08] elemental:223 -52.75
I [2024-08-06 07:56:55] chimera:541 -15.13
E [2024-08-06 07:57:17] elemental:77 40.46
W [2024-08-06 07:58:36] basilisk:375 0.35
E [2024-08-06 07:59:08] chimera:575 -87.2
E [2024-08-06 07:59:57] fairy:14 31.80
W [2024-08-06 08:01:35] fairy:793 -37.23
E [2024-08-06 08:03:04] dragon:658 28.42
E [2024-08-06 08:04:55] fairy:426 -79.86
W [2024-08-06 08:05:04] elemental:898 -32.53
W [2024-08-06 08:05:31] basilisk:827 -15.59
W [2024-08-06 08:08:49] chimera:54 59.15
I [2024-08-06 08:09:14] chimera:617 64.97
I [2024-08-06 08:12:20] fairy:747 -67.33
I [2024-08-06 08:12:42] fairy:741 -72.87
I [2024-08-06 08:12:44] basilisk:21 87.27
E [2024-08-06 08:12:46] dragon:79 -68.5
I [2024-08-06 08:14:06] fairy:413 -61.76
E [2024-08-06 08:14:12] chimera:65 42.22
E [2024-08-06 08:14:32] elemental:319 -79.84
I [2024-08-06 08:16:00] basilisk:291 -51.60
I [2024-08-06 08:16:58] basilisk:296 56.40
E [2024-08-06 08:17:11] dragon:718 -56.71
I [2024-08-06 08:17:18] chimera:383 67.90
W [2024-08-06 08:17:59] chimera:512 -8.32
I [2024-08-06 08:19:41] dragon:643 77.12
W [2024-08-06 08:20:05] chimera:480 47.12
W [2024-08-06 08:22:48] fairy:356 99.99
E [2024-08-06 08:23:03] fairy:805 -95.87
E [2024-08-06 08:23:59] dragon:765 -68.55
W [2024-08-06 08:24:04] basilisk:855 4.47
W [2024-08-06 08:29:23] chimera:254 26.91
W [2024-08-06 08:30:11] chimera:881 18.89
I [2024-08-06 08:30:41] chimera:942 -32.69
W [2024-08-06 08:32:24] fairy:972 -71.75
E [2024-08-06 08:37:23] elemental:490 -22.89
E [2024-08-06 08:42:00] elemental:559 -26.49
I [2024-08-06 08:42:20] elemental:478 33.24
I [2024-08-06 08:43:34] elemental:880 -71.14
E [2024-08-06 08:45:13] elemental:438 33.37
E [2024-08-06 08:46:32] dragon:95 2.96
I [2024-08-06 08:48:52] dragon:440 9.98
W [2024-08-06 08:49:57] chimera:573 75.33
E [2024-08-06 08:58:24] elemental:31 20.3
E [2024-08-06 08:59:53] dragon:498 49.72
W [2024-08-06 09:00:30] basilisk:370 14.56
W [2024-08-06 09:01:52] fairy:208 86.40
E [2024-08-06 09:02:20] dragon:792 80.95
E [2024-08-06 09:04:11] basilisk:445 95.46
W [2024-08-06 09:04:26] chimera:593 33.72
W [2024-08-06 09:04:27] dragon:708 62.73
E [2024-08-06 09:05:26] basilisk:873 -51.19
E [2024-08-06 09:05:47] dragon:310 67.17
I [2024-08-06 09:06:42] dragon:691 27.5
I [2024-08-06 09:07:14] chimera:805 -82.36
W [2024-08-06 09:09:12] basilisk:455 25.37
W [2024-08-06 09:10:17] basilisk:514 22.96
I [2024-08-06 09:11:16] dragon:312 16.58
E [2024-08-06 09:12:15] fairy:578 37.2
E [2024-08-06 09:16:28] dragon:825 -23.18
I [2024-08-06 09:17:38] fairy:169 4.2
I [2024-08-06 09:18:44] chimera:743 -12.43
I [2024-08-06 09:20:44] chimera:346 99.45
W [2024-08-06 09:21:57] basilisk:799 49.14
I [2024-08-06 09:23:04] fairy:922 -28.42
W [2024-08-06 09:23:29] fairy:333 97.19
W [2024-08-06 09:23:30] basilisk:565 55.71
I [2024-08-06 09:35:00] dragon:337 -85.19
E [2024-08-06 09:36:15] fairy:499 52.97
I [2024-08-06 09:36:40] fairy:176 70.6
E [2024-08-06 09:36:44] basilisk:723 45.94
W [2024-08-06 09:37:01] basilisk:361 -75.16
W [2024-08-06 09:40:11] chimera:399 -90.83
W [2024-08-06 09:44:52] elemental:373 -70.84
W [2024-08-06 09:45:37] chimera:501 48.26
E [2024-08-06 09:45:53] fairy:837 -7.84
E [2024-08-06 09:47:07] fairy:762 -28.67
E [2024-08-06 09:47:39] dragon:31 75.56
W [2024-08-06 09:48:01] dragon:843 -99.73
I [2024-08-06 09:48:30] elemental:740 -3.45
W [2024-08-06 09:50:33] dragon:420 -49.3
W [2024-08-06 09:50:42] elemental:465 77.47
W [2024-08-06 09:51:28] fairy:326 29.13
W [2024-08-06 09:51:46] dragon:708 41.50
W [2024-08-06 09:54:51] elemental:258 100.28
E [2024-08-06 09:57:08] elemental:570 41.9
I [2024-08-06 09:57:35] fairy:771 32.95
W [2024-08-06 09:58:40] dragon:994 -73.61
W [2024-08-06 10:01:20] elemental:738 96.24
I [2024-08-06 10:02:01] fairy:777 -69.30
E [2024-08-06 10:02:52] elemental:365 -67.33
W [2024-08-06 10:04:57] elemental:917 6.69
E [2024-08-06 10:05:27] basilisk:122 60.2
W [2024-08-06 10:05:59] fairy:125 35.18
W [2024-08-06 10:06:25] fairy:609 83.98
W [2024-08-06 10:09:59] basilisk:677 100.43
E [2024-08-06 10:10:25] basilisk:364 -50.22
W [2024-08-06 10:13:43] fairy:673 84.34
W [2024-08-06 10:19:16] elemental:584 0.25
W [2024-08-06 10:21:56] chimera:708 -69.65
E [2024-08-06 10:23:37] chimera:628 76.79
I [2024-08-06 10:23:59] chimera:454 97.16
E [2024-08-06 10:25:38] basilisk:266 -74.64
I [2024-08-06 10:26:23] chimera:661 -79.42
E [2024-08-06 10:27:07] basilisk:835 -87.2
I [2024-08-06 10:30:29] chimera:321 -63.88
W [2024-08-06 10:33:30] basilisk:881 84.53
I [2024-08-06 10:33:53] chimera:741 -89.87
E [2024-08-06 10:34:03] basilisk:827 -39.25
W [2024-08-06 10:34:19] basilisk:644 -43.24
W [2024-08-06 10:36:59] chimera:572 19.25
I [2024-08-06 10:39:15] fairy:697 -12.68
I [2024-08-06 10:39:38] chimera:551 85.27
E [2024-08-06 10:40:26] elemental:960 69.72
W [2024-08-06 10:43:40] basilisk:796 -58.94
W [2024-08-06 10:44:32] dragon:554 64.47
I [2024-08-06 10:45:24] fairy:531 16.94
W [2024-08-06 10:45:40] dragon:55 -44.82
I [2024-08-06 10:46:46] basilisk:730 -72.39
I [2024-08-06 10:48:16] chimera:729 20.25
I [2024-08-06 10:48:42] elemental:861 -16.92
I [2024-08-06 10:49:56] basilisk:595 90.54
I [2024-08-06 10:50:09] elemental:309 -3.8
E [2024-08-06 10:50:14] basilisk:717 55.62
I [2024-08-06 10:51:22] fairy:309 44.38
W [2024-08-06 10:56:57] basilisk:286 77.53
E [2024-08-06 10:57:06] basilisk:570 -23.36
E [2024-08-06 11:01:38] fairy:58 -39.25
I [2024-08-06 11:03:25] elemental:182 24.16
W [2024-08-06 11:06:05] fairy:655 -1.79
W [2024-08-06 11:06:57] basilisk:53 67.71
W [2024-08-06 11:08:22] basilisk:632 -69.38
I [2024-08-06 11:09:08] chimera:699 72.12
E [2024-08-06 11:11:21] basilisk:961 75.88
E [2024-08-06 11:13:20] chimera:875 -24.55
W [2024-08-06 11:13:45] elemental:3 70.25
E [2024-08-06 11:14:04] elemental:145 -9.30
I [2024-08-06 11:14:35] elemental:236 44.69
I [2024-08-06 11:15:05] chimera:713 -46.71
W [2024-08-06 11:15:07] dragon:655 37.33
W [2024-08-06 11:16:51] fairy:39 -54.91
E [2024-08-06 11:20:51] fairy:373 3.8
E [2024-08-06 11:21:42] dragon:974 74.97
W [2024-08-06 11:21:54] elemental:857 -76.87
E [2024-08-06 11:22:08] elemental:735 6.86
E [2024-08-06 11:24:25] elemental:981 97.34
I [2024-08-06 11:25:37] fairy:888 83.26
W [2024-08-06 11:26:47] fairy:375 25.87
I [2024-08-06 11:28:46] fairy:508 3.36
W [2024-08-06 11:29:37] fairy:239 -2.74
E [2024-08-06 11:34:37] chimera:943 47.47
E [2024-08-06 11:34:49] elemental:459 -43.95
I [2024-08-06 11:35:43] chimera:80 6.61
W [2024-08-06 11:37:16] fairy:294 50.12
W [2024-08-06 11:38:16] basilisk:956 32.94
I [2024-08-06 11:38:40] elemental:300 77.33
W [2024-08-06 11:41:03] fairy:375 43.70
W [2024-08-06 11:44:40] dragon:308 93.12
E [2024-08-06 11:45:01] chimera:739 81.76
E [2024-08-06 11:45:12] dragon:833 -91.4
W [2024-08-06 11:46:55] fairy:999 76.91
E [2024-08-06 11:46:56] chimera:680 -12.3
E [2024-08-06 11:48:09] chimera:536 -66.73
W [2024-08-06 11:49:36] basilisk:320 -30.25
E [2024-08-06 11:50:17] fairy:349 38.91
E [2024-08-06 11:52:53] chimera:732 38.66
W [2024-08-06 11:54:16] dragon:188 -7.65
E [2024-08-06 11:54:54] chimera:823 -93.64
W [2024-08-06 11:55:35] elemental:635 -89.83
I [2024-08-06 11:55:47] basilisk:935 34.40
W [2024-08-06 11:58:08] chimera:958 57.43
W [2024-08-06 12:03:10] dragon:111 5.8
W [2024-08-06 12:03:12] chimera:742 -82.16
I [2024-08-06 12:03:15] dragon:576 -20.57
W [2024-08-06 12:06:08] dragon:810 15.90
I [2024-08-06 12:07:56] basilisk:36 -87.58
E [2024-08-06 12:07:58] elemental:628 75.66
I [2024-08-06 12:09:24] chimera:736 -23.69
W [2024-08-06 12:11:18] dragon:25 27.20
E [2024-08-06 12:14:36] chimera:800 -39.35
W [2024-08-06 12:16:06] elemental:955 -90.67
E [2024-08-06 12:21:29] fairy:18 39.17
I [2024-08-06 12:26:41] elemental:811 61.90
E [2024-08-06 12:28:31] dragon:753 75.23
W [2024-08-06 12:30:22] fairy:565 24.63
I [2024-08-06 12:30:40] elemental:523 -35.46
W [2024-08-06 12:32:55] elemental:534 1.36
E [2024-08-06 12:34:43] chimera:20 91.30
W [2024-08-06 12:36:58] fairy:531 5.12
I [2024-08-06 12:38:25] basilisk:202 63.11
E [2024-08-06 12:39:32] fairy:264 -40.66
I [2024-08-06 12:40:43] basilisk:921 56.94
E [2024-08-06 12:45:16] basilisk:380 -2.88
I [2024-08-06 12:46:48] dragon:269 57.10
I [2024-08-06 12:47:05] basilisk:178 -37.88
E [2024-08-06 12:48:36] dragon:849 44.75
W [2024-08-06 12:51:17] basilisk:180 23.58
E [2024-08-06 12:52:44] dragon:281 23.81
W [2024-08-06 12:53:27] basilisk:580 -4.39
E [2024-08-06 12:54:00] chimera:905 21.69
I [2024-08-06 12:59:37] chimera:957 -76.94
W [2024-08-06 13:03:15] basilisk:521 64.38
W [2024-08-06 13:07:16] dragon:965 66.40
I [2024-08-06 13:08:30] chimera:745 -42.68
I [2024-08-06 13:09:56] elemental:88 0.65
E [2024-08-06 13:12:29] basilisk:317 -29.49
E [2024-08-06 13:12:35] dragon:496 4.78
E [2024-08-06 13:12:47] basilisk:599 64.94
I [2024-08-06 13:15:20] dragon:750 -68.91
I [2024-08-06 13:16:01] chimera:159 63.7
E [2024-08-06 13:17:11] basilisk:210 -9.93
W [2024-08-06 13:18:21] fairy:885 87.14
I [2024-08-06 13:18:41] chimera:212 -77.26
W [2024-08-06 13:23:51] chimera:877 67.42
I [2024-08-06 13:26:02] basilisk:611 -47.96
W [2024-08-06 13:30:00] dragon:167 -15.27
E [2024-08-06 13:34:56] dragon:640 76.84
I [2024-08-06 13:35:36] elemental:776 94.75
E [2024-08-06 13:35:55] fairy:493 -90.85
W [2024-08-06 13:36:27] dragon:917 -14.11
E [2024-08-06 13:36:58] dragon:477 -67.85
E [2024-08-06 13:37:00] dragon:575 99.76
I [2024-08-06 13:38:32] elemental:932 51.68
E [2024-08-06 13:38:36] chimera:883 100.59
E [2024-08-06 13:39:01] elemental:998 94.62
W [2024-08-06 13:41:27] chimera:593 -54.9
W [2024-08-06 13:44:41] basilisk:141 54.28
W [2024-08-06 13:45:13] chimera:396 -12.63
W [2024-08-06 13:45:31] chimera:332 41.58
E [2024-08-06 13:46:30] chimera:322 -7.23
I [2024-08-06 13:47:03] dragon:988 -66.8
I [2024-08-06 13:47:27] dragon:333 -77.36
W [2024-08-06 13:48:13] chimera:827 -85.8
E [2024-08-06 13:54:04] chimera:430 -52.51
I [2024-08-06 13:57:20] basilisk:636 59.31
I [2024-08-06 13:57:32] elemental:676 -63.88
W [2024-08-06 14:01:22] chimera:185 -75.14
E [2024-08-06 14:02:21] elemental:589 -50.86
I [2024-08-06 14:03:32] basilisk:974 -70.11
I [2024-08-06 14:04:58] fairy:56 46.88
E [2024-08-06 14:05:20] basilisk:926 87.76
W [2024-08-06 14:06:11] dragon:176 -64.53
W [2024-08-06 14:06:48] elemental:258 52.13
E [2024-08-06 14:09:28] elemental:13 -58.27
E [2024-08-06 14:09:50] chimera:112 -94.41
E [2024-08-06 14:11:03] basilisk:130 -1.48
E [2024-08-06 14:13:24] chimera:267 -94.76
I [2024-08-06 14:13:58] dragon:101 90.50
W [2024-08-06 14:14:48] chimera:159 58.40
W [2024-08-06 14:16:09] dragon:825 27.46
W [2024-08-06 14:16:52] fairy:237 -44.0
W [2024-08-06 14:19:18] fairy:565 -48.10
E [2024-08-06 14:21:12] basilisk:996 -42.80
E [2024-08-06 14:23:22] basilisk:819 93.35
I [2024-08-06 14:23:39] fairy:362 -42.73
I [2024-08-06 14:25:52] dragon:369 -82.29
E [2024-08-06 14:28:00] fairy:127 63.20
E [2024-08-06 14:29:45] basilisk:8 -53.86
I [2024-08-06 14:31:22] chimera:77 -23.74
W [2024-08-06 14:32:22] fairy:76 49.88
E [2024-08-06 14:34:55] basilisk:502 67.75
I [2024-08-06 14:35:25] fairy:488 -29.38
I [2024-08-06 14:35:54] basilisk:302 91.15
E [2024-08-06 14:36:01] fairy:472 -76.36
E [2024-08-06 14:36:31] fairy:492 69.64
E [2024-08-06 14:36:49] dragon:371 13.31
I [2024-08-06 14:37:15] basilisk:499 81.47
E [2024-08-06 14:37:41] fairy:492 -74.38
E [2024-08-06 14:38:13] chimera:907 94.96
W [2024-08-06 14:38:38] basilisk:924 -87.48
I [2024-08-06 14:39:29] fairy:879 -40.76
I [2024-08-06 14:39:52] dragon:889 -35.74
I [2024-08-06 14:41:14] elemental:721 -34.76
I [2024-08-06 14:43:35] fairy:16 -54.71
W [2024-08-06 14:44:20] dragon:749 78.78
E [2024-08-06 14:47:03] elemental:521 -23.22
W [2024-08-06 14:49:27] basilisk:421 -5.29
E [2024-08-06 14:50:54] fairy:335 66.39
I [2024-08-06 14:51:32] dragon:776 -64.65
I [2024-08-06 14:51:40] elemental:922 -14.77
W [2024-08-06 14:51:40] elemental:881 6.97
W [2024-08-06 14:55:28] elemental:167 -88.49
E [2024-08-06 14:55:33] basilisk:230 22.97
I [2024-08-06 14:57:49] elemental:425 61.40
W [2024-08-06 14:58:03] dragon:572 25.42
E [2024-08-06 14:58:35] dragon:896 -15.45
E [2024-08-06 14:58:55] fairy:499 47.8
W [2024-08-06 15:06:00] fairy:227 56.49
I [2024-08-06 15:06:15] basilisk:889 -77.51
E [2024-08-06 15:08:38] basilisk:200 41.18
I [2024-08-06 15:10:04] chimera:86 -73.95
I [2024-08-06 15:11:02] dragon:347 4.52
W [2024-08-06 15:14:04] chimera:796 -22.13
W [2024-08-06 15:14:05] elemental:970 -56.44
E [2024-08-06 15:14:36] fairy:175 9.42
I [2024-08-06 15:17:19] fairy:859 -68.90
I [2024-08-06 15:18:35] dragon:732 84.96
I [2024-08-06 15:18:53] elemental:97 35.96
W [2024-08-06 15:22:56] basilisk:630 22.73
I [2024-08-06 15:24:24] basilisk:697 65.61
I [2024-08-06 15:24:44] basilisk:743 -40.13
W [2024-08-06 15:25:51] elemental:521 -5.78
W [2024-08-06 15:25:59] elemental:423 26.31
I [2024-08-06 15:26:29] elemental:535 51.13
E [2024-08-06 15:27:56] elemental:600 84.8
W [2024-08-06 15:28:40] chimera:361 -98.46
E [2024-08-06 15:32:05] dragon:408 61.6
E [2024-08-06 15:32:15] fairy:733 71.32
E [2024-08-06 15:32:42] dragon:500 3.91
W [2024-08-06 15:35:03] dragon:120 93.55
I [2024-08-06 15:35:23] elemental:56 -91.2
W [2024-08-06 15:35:42] elemental:627 -73.97
I [2024-08-06 15:37:28] dragon:233 -81.26
E [2024-08-06 15:39:47] basilisk:787 13.91
E [2024-08-06 15:44:34] chimera:255 -82.3
I [2024-08-06 15:45:18] basilisk:222 51.57
I [2024-08-06 15:47:10] elemental:868 -45.96
E [2024-08-06 15:47:16] basilisk:831 -1.42
E [2024-08-06 15:48:14] basilisk:2 14.92
E [2024-08-06 15:49:00] chimera:71 -50.10
E [2024-08-06 15:49:17] dragon:662 -86.98
E [2024-08-06 15:51:20] fairy:54 33.93
W [2024-08-06 15:51:24] chimera:938 11.97
I [2024-08-06 15:51:32] fairy:64 -53.47
W [2024-08-06 15:54:26] dragon:714 15.11
I [2024-08-06 15:59:00] elemental:778 93.69
W [2024-08-06 16:00:08] chimera:351 -90.48
W [2024-08-06 16:00:38] chimera:344 84.49
E [2024-08-06 16:05:04] chimera:405 -26.79
I [2024-08-06 16:05:52] dragon:39 -43.38
W [2024-08-06 16:06:01] elemental:403 65.66
E [2024-08-06 16:11:09] elemental:825 -47.59
I [2024-08-06 16:14:16] fairy:93 -28.60
W [2024-08-06 16:14:55] basilisk:617 21.87
W [2024-08-06 16:16:08] dragon:119 -7.19
E [2024-08-06 16:16:58] chimera:165 45.36
W [2024-08-06 16:18:18] chimera:826 -53.35
I [2024-08-06 16:18:57] dragon:500 30.60
W [2024-08-06 16:21:45] dragon:84 29.3
I [2024-08-06 16:22:22] dragon:108 -35.66
E [2024-08-06 16:26:40] dragon:213 44.35
W [2024-08-06 16:27:09] dragon:531 96.23
E [2024-08-06 16:27:48] fairy:949 -18.26
I [2024-08-06 16:28:00] fairy:345 42.74
W [2024-08-06 16:31:20] fairy:72 35.14
I [2024-08-06 16:31:39] fairy:911 -75.66
I [2024-08-06 16:34:39] basilisk:602 84.79
I [2024-08-06 16:36:00] chimera:129 -5.10
I [2024-08-06 16:36:44] basilisk:607 -49.23
I [2024-08-06 16:41:05] chimera:798 -41.54
I [2024-08-06 16:41:06] chimera:66 -58.85
E [2024-08-06 16:41:49] chimera:371 -55.81
W [2024-08-06 16:46:25] basilisk:991 -74.78
E [2024-08-06 16:48:18] basilisk:979 -49.88
I [2024-08-06 16:48:22] dragon:698 13.53
E [2024-08-06 16:50:56] dragon:818 87.2
W [2024-08-06 16:51:38] chimera:958 -95.11
I [2024-08-06 16:56:49] elemental:319 -94.6
W [2024-08-06 17:00:26] basilisk:410 0.54
I [2024-08-06 17:02:17] basilisk:507 -28.69
E [2024-08-06 17:02:29] chimera:281 76.18
E [2024-08-06 17:02:57] elemental:926 -43.4
I [2024-08-06 17:05:03] dragon:438 -39.68
I [2024-08-06 17:05:34] dragon:622 60.35
E [2024-08-06 17:06:41] fairy:730 2.75
W [2024-08-06 17:06:58] elemental:130 75.24
W [2024-08-06 17:09:41] basilisk:126 19.15
E [2024-08-06 17:11:13] basilisk:961 22.88
W [2024-08-06 17:13:37] dragon:418 45.69
E [2024-08-06 17:15:26] fairy:652 -68.48
I [2024-08-06 17:17:37] basilisk:327 61.80
E [2024-08-06 17:17:46] fairy:983 12.5
I [2024-08-06 17:19:07] dragon:308 -29.38
E [2024-08-06 17:19:40] basilisk:927 99.52
W [2024-08-06 17:20:47] elemental:490 79.48
I [2024-08-06 17:22:25] elemental:282 -11.67
I [2024-08-06 17:23:44] dragon:411 41.33
E [2024-08-06 17:25:30] chimera:80 8.15
I [2024-08-06 17:27:42] basilisk:763 -56.17
I [2024-08-06 17:28:02] chimera:143 7.86
E [2024-08-06 17:31:33] elemental:688 -73.79
I [2024-08-06 17:37:41] dragon:417 26.20
W [2024-08-06 17:40:37] dragon:17 -7.68
I [2024-08-06 17:40:57] fairy:990 5.13
W [2024-08-06 17:41:40] basilisk:25 67.27
E [2024-08-06 17:41:52] fairy:37 40.98
E [2024-08-06 17:43:37] chimera:703 -12.43
W [2024-08-06 17:44:21] chimera:913 -94.59
I [2024-08-06 17:46:31] basilisk:575 -54.67
E [2024-08-06 17:46:41] fairy:84 -43.89
I [2024-08-06 17:51:51] basilisk:126 45.14
I [2024-08-06 17:54:32] basilisk:347 -32.78
I [2024-08-06 17:55:56] elemental:833 -45.43
I [2024-08-06 17:56:07] elemental:506 -88.75
E [2024-08-06 17:56:12] basilisk:719 64.3
W [2024-08-06 17:58:38] fairy:289 5.0
E [2024-08-06 17:59:05] fairy:76 86.83
W [2024-08-06 18:00:25] fairy:137 2.37
E [2024-08-06 18:03:38] fairy:400 -22.10
W [2024-08-06 18:05:42] basilisk:79 -72.1
E [2024-08-06 18:10:30] elemental:618 -55.65
W [2024-08-06 18:10:30] fairy:555 -52.74
E [2024-08-06 18:10:46] basilisk:987 -20.92
E [2024-08-06 18:11:50] basilisk:14 -82.14
W [2024-08-06 18:12:10] dragon:324 -42.30
I [2024-08-06 18:12:56] dragon:728 -1.68
E [2024-08-06 18:13:19] elemental:507 -79.73
I [2024-08-06 18:13:42] chimera:167 -5.35
E [2024-08-06 18:19:30] dragon:397 -81.53
I [2024-08-06 18:21:24] dragon:197 79.12
E [2024-08-06 18:21:26] basilisk:911 -79.90
I [2024-08-06 18:21:49] fairy:917 -69.17
I [2024-08-06 18:23:27] elemental:618 -48.35
I [2024-08-06 18:23:37] chimera:99 -77.57
I [2024-08-06 18:25:25] chimera:585 -52.14
E [2024-08-06 18:25:38] basilisk:845 -16.64
I [2024-08-06 18:28:02] basilisk:817 -14.65
I [2024-08-06 18:28:11] dragon:297 20.59
I [2024-08-06 18:31:23] elemental:181 63.24
I [2024-08-06 18:32:40] elemental:422 66.25
E [2024-08-06 18:39:33] dragon:266 -58.48
E [2024-08-06 18:40:09] fairy:156 -32.30
I [2024-08-06 18:42:05] elemental:162 43.4
W [2024-08-06 18:43:45] chimera:507 53.90
W [2024-08-06 18:46:52] dragon:559 -6.92
E [2024-08-06 18:47:00] chimera:292 35.27
E [2024-08-06 18:48:43] chimera:75 -72.92
I [2024-08-06 18:52:11] chimera:943 -82.10
W [2024-08-06 18:53:34] fairy:376 -1.51
E [2024-08-06 18:54:36] elemental:648 -82.37
I [2024-08-06 18:55:06] dragon:43 30.10
I [2024-08-06 18:55:22] elemental:807 6.7
W [2024-08-06 18:55:52] basilisk:18 81.65
